flight_no,airline,duration,price,most_common_depart_day,most_common_depart_time,most_common_meal,most_common_equipment,avg_on_time,departure airport,departure city,arrival airport,arrival city
714,United,169,229.8572095,Friday,19:50:00,Food and beverage for purchase,Airbus A319,98,"Boston, USA",BOS,"Chicago, USA",ORD
2142,American Airlines,95,230.2083814,Thursday,15:00:00,,Airbus A319,90,"Boston, USA",BOS,"Washington, USA",DCA
6241,Delta,127,326.714878,Monday,9:00:00,,,100,"Boston, USA",BOS,"Raleigh, USA",RDU
2810,Delta,73,294.2344444,Saturday,11:00:00,,Airbus A319,90,"Boston, USA",BOS,"New York, USA",JFK
2830,Delta,166,282.0566146,Saturday,9:45:00,Refreshment for purchase,Boeing 757,90,"Boston, USA",BOS,"Atlanta, USA",ATL
1815,Cape Air,68,637.5741545,Thursday,12:55:00,,Cessna,-1,"Boston, USA",BOS,"Albany, USA",ALB
581,American Airlines,139,397.1654198,Saturday,11:10:00,Food For Purchase,Airbus A321,100,"Boston, USA",BOS,"Charlotte, USA",CLT
4452,United,100,214.1,Sunday,13:00:00,,Embraer EMB-145,-1,"Boston, USA",BOS,"Newark, USA",EWR
2683,Delta,79,198.9377404,Wednesday,15:00:00,,Boeing 717,80,"Boston, USA",BOS,"New York, USA",LGA
6297,Delta,150,265.8538843,Wednesday,10:45:00,,Canadian Regional Jet 700,100,"Boston, USA",BOS,"Cincinnati, USA",CVG
1827,Cape Air,68,491.7702041,Monday,16:34:00,,Cessna,-1,"Boston, USA",BOS,"Albany, USA",ALB
3961,Delta,78,262.3678571,Saturday,11:00:00,,,90,"Boston, USA",BOS,"New York, USA",JFK
3374,United,99,348.4917391,Sunday,13:02:00,,,-1,"Boston, USA",BOS,"Newark, USA",EWR
341,Delta,138,211.9032227,Sunday,7:10:00,,Airbus A320,100,"Boston, USA",BOS,"Detroit, USA",DTW
147,American Airlines,381,310.2052285,Sunday,15:14:00,Food For Purchase,Boeing 737-800,100,"Boston, USA",BOS,"Los Angeles, USA",LAX
2152,American Airlines,78,150.0823353,Tuesday,9:00:00,,Embraer 190,90,"Boston, USA",BOS,"New York, USA",LGA
1811,Cape Air,68,636.4910533,Saturday,8:58:00,,Cessna,-1,"Boston, USA",BOS,"Albany, USA",ALB
3654,United,92,286.6625,Saturday,14:48:00,,EMBRAER 170,-1,"Boston, USA",BOS,"Newark, USA",EWR
2087,American Airlines,81,333.4875,Sunday,5:00:00,,Airbus A320,100,"Boston, USA",BOS,"Philadelphia, USA",PHL
3322,United,86,575.85,Saturday,14:48:00,,EMBRAER 170,-1,"Boston, USA",BOS,"Newark, USA",EWR
448,United,274,295.987182,Saturday,15:15:00,Food For Purchase,Boeing 737-900,90,"Boston, USA",BOS,"Denver, USA",DEN
793,Delta,90,217.1796604,Tuesday,17:10:00,,Boeing 717,78,"Boston, USA",BOS,"New York, USA",JFK
1791,American Airlines,141,374.85,Sunday,12:51:00,Food For Purchase,Airbus A320,100,"Boston, USA",BOS,"Charlotte, USA",CLT
287,JetBlue Airways,379,242.5753812,Monday,6:39:00,Meal,Airbus A320,-1,"Boston, USA",BOS,"Los Angeles, USA",LAX
727,JetBlue Airways,89,83.9072549,Wednesday,6:15:00,,Embraer 190,100,"Boston, USA",BOS,"Baltimore, USA",BWI
2824,Delta,188,184.7035342,Sunday,9:45:00,Refreshment for purchase,Boeing 757,90,"Boston, USA",BOS,"Atlanta, USA",ATL
493,JetBlue Airways,275,232.0223874,Monday,7:50:00,,Airbus A320,87,"Boston, USA",BOS,"Denver, USA",DEN
198,American Airlines,83,231.0697495,Thursday,14:25:00,,,90,"Boston, USA",BOS,"New York, USA",JFK
1206,American Airlines,167,253.2341724,Tuesday,19:23:00,Food For Purchase,Boeing 737-800,90,"Boston, USA",BOS,"Chicago, USA",ORD
2168,American Airlines,77,263.6688918,Sunday,14:00:00,,Embraer 190,90,"Boston, USA",BOS,"New York, USA",LGA
363,Virgin America,383,329.1221633,Saturday,9:00:00,,Airbus A320,90,"Boston, USA",BOS,"Los Angeles, USA",LAX
819,Delta,198,299.6165962,Saturday,8:25:00,Refreshment for purchase,Airbus A319,100,"Boston, USA",BOS,"Minneapolis, USA",MSP
759,JetBlue Airways,96,107.5478995,Monday,12:25:00,,Embraer 190,80,"Boston, USA",BOS,"Philadelphia, USA",PHL
1711,American Airlines,145,248.1806667,Saturday,14:35:00,Food For Purchase,Airbus A319,100,"Boston, USA",BOS,"Charlotte, USA",CLT
2673,Delta,80,176.6316667,Tuesday,11:00:00,,Boeing 717,90,"Boston, USA",BOS,"New York, USA",LGA
771,American Airlines,85,214.6569736,Saturday,6:00:00,,Airbus A320,100,"Boston, USA",BOS,"Philadelphia, USA",PHL
3815,Delta,132,314.6,Saturday,10:30:00,,,100,"Boston, USA",BOS,"Cincinnati, USA",CVG
1723,Delta,140,192.7802797,Friday,14:35:00,,Boeing 717,70,"Boston, USA",BOS,"Detroit, USA",DTW
3353,United,93,317.9890909,Sunday,12:15:00,,,-1,"Boston, USA",BOS,"Newark, USA",EWR
3819,American Airlines,80,317.2,Friday,20:50:00,,Canadair RJ,-1,"Boston, USA",BOS,"Rochester, USA",ROC
6291,Delta,124,218.31384,Thursday,6:00:00,,,100,"Boston, USA",BOS,"Raleigh, USA",RDU
6074,United,103,218.4888889,Saturday,14:39:00,,Canadian Regional Jet 700,-1,"Boston, USA",BOS,"Washington, USA",IAD
820,Delta,138,213.2099342,Wednesday,7:12:00,,Airbus A320,100,"Boston, USA",BOS,"Detroit, USA",DTW
1645,United,303,283.2377143,Friday,9:07:00,Food For Purchase,Boeing 737-900,-1,"Boston, USA",BOS,"Denver, USA",DEN
1445,JetBlue Airways,144,256.11,Friday,14:40:00,,Embraer 190,90,"Boston, USA",BOS,"Charlotte, USA",CLT
2283,JetBlue Airways,129,233.94,Friday,6:30:00,,Embraer 190,100,"Boston, USA",BOS,"Raleigh, USA",RDU
5199,Delta,132,248.585082,Thursday,11:00:00,,,100,"Boston, USA",BOS,"Cincinnati, USA",CVG
4158,United,122,332.8045161,Monday,14:00:00,Food and beverage for purchase,Embraer EMB-145,-1,"Boston, USA",BOS,"Cleveland, USA",CLE
3665,Delta,139,313.3039416,Sunday,13:10:00,,,100,"Boston, USA",BOS,"Cincinnati, USA",CVG
11,JetBlue Airways,168,161.1165672,Thursday,19:35:00,,Embraer 190,-1,"Boston, USA",BOS,"Chicago, USA",ORD
3925,American Airlines,94,255.59,Thursday,7:50:00,,Canadair RJ,-1,"Boston, USA",BOS,"Buffalo, USA",BUF
2806,Delta,74,281.2238519,Friday,12:54:00,,Boeing 717,90,"Boston, USA",BOS,"New York, USA",JFK
