Origin,Org_Lat,Org_Lon,Dest,Dest_Lat,Dest_Lon,Time_Of_Day,Avg_Delay
ORF,36.894611,-76.201222,BNA,36.124472,-86.678194,14,9.90
MSP,44.881956,-93.221767,SAT,29.533694,-98.469778,11,0.92
MLU,32.510864,-92.037689,ATL,33.636719,-84.428067,18,-2.00
ABQ,35.0402222,-106.6091944,DEN,39.861656,-104.673178,9,4.77
LAS,36.080056,-115.15225,MCO,28.429394,-81.308994,8,3.34
PHX,33.434278,-112.011583,PSP,33.829667,-116.506694,12,0.86
BHM,33.562942,-86.75355,HOU,29.645419,-95.278889,7,1.74
SMF,38.695417,-121.590778,SAN,32.733556,-117.189667,18,16.45
MSP,44.881956,-93.221767,PHX,33.434278,-112.011583,7,0.10
LGA,40.777245,-73.872608,CMH,39.997972,-82.891889,12,2.05
CLE,41.411689,-81.849794,CLT,35.214,-80.943139,13,2.22
SJC,37.3626,-121.929022,LAS,36.080056,-115.15225,7,-0.26
EWR,40.6925,-74.168667,RDU,35.877639,-78.787472,22,19.78
PDX,45.588722,-122.5975,SMF,38.695417,-121.590778,9,3.13
PVD,41.732581,-71.420383,FLL,26.072583,-80.15275,9,-3.69
DFW,32.896828,-97.037997,LGA,40.777245,-73.872608,2,0.00
PHX,33.434278,-112.011583,PHL,39.871944,-75.241139,12,8.50
PIT,40.491467,-80.232872,MDW,41.785972,-87.752417,18,19.30
OAK,37.721278,-122.220722,PDX,45.588722,-122.5975,15,16.57
MSP,44.881956,-93.221767,PIT,40.491467,-80.232872,11,-6.00
ONT,34.056,-117.601194,LAS,36.080056,-115.15225,7,3.03
DAY,39.902375,-84.219375,EWR,40.6925,-74.168667,8,-10.17
DFW,32.896828,-97.037997,IND,39.717331,-86.294383,20,17.83
DTW,42.212444,-83.353389,BDL,41.938889,-72.683222,17,10.71
OGG,20.89865,-156.430458,KOA,19.738767,-156.045631,8,-4.89
ATL,33.636719,-84.428067,MIA,25.79325,-80.290556,7,1.82
ORD,41.978603,-87.904842,SAV,32.127583,-81.202139,9,6.00
MDW,41.785972,-87.752417,DAL,32.847111,-96.851778,21,20.90
SLC,40.788389,-111.977772,ATL,33.636719,-84.428067,10,5.78
IAD,38.944533,-77.455811,PHX,33.434278,-112.011583,18,25.18
CLT,35.214,-80.943139,ALB,42.748267,-73.801692,22,6.00
AUS,30.194528,-97.669889,MCO,28.429394,-81.308994,8,1.53
SFO,37.618972,-122.374889,JFK,40.639751,-73.778925,10,22.94
CLE,41.411689,-81.849794,DAY,39.902375,-84.219375,20,31.89
FLL,26.072583,-80.15275,MKE,42.947222,-87.896583,20,20.07
RSW,26.536167,-81.755167,CVG,39.048836,-84.667822,10,-0.29
IAD,38.944533,-77.455811,IND,39.717331,-86.294383,22,14.53
MCO,28.429394,-81.308994,FLL,26.072583,-80.15275,7,-5.96
SPI,39.8441,-89.677889,DFW,32.896828,-97.037997,15,19.57
SAN,32.733556,-117.189667,LAS,36.080056,-115.15225,14,17.18
